"Word types: A = adjective, ADV = adverb, F = function word (non-specified), N = noun, NUM = numeral, V = verb.",,,,,,,,,,,
"AoA = Age of Acquisition, new = ratings collected for the present study, MRC = ratings (not specified for word class), available on the MRC Psycholinguistic Database (1997). Oxford: Medical Research Council.",,,,,,,,,,,
"Frequency = logarithm of combined written and spoken count divided by total words in corpus of Celex Database (Baayen, R.H., Piepenbrock, R. & Gulikers, L. (1995). The CELEX Lexical Database [CD ROM]. Philadelphia, PA: Linguistic Data Consortium, University of Pennsylvania).",,,,,,,,,,,
WORD,Word type,new AoA,new Imageability,MRC AoA,MRC Imageability,Frequency,AoA_Kup,Bird_recalc,Bird_recalc2,,
dolled up,A,511,569,.,.,-1.5539,#N/A,9.71327,9.65305884,,
dolphin,N,442,626,.,.,0.48,6.05,8.36294,8.16665256,,
domestic,A,515,395,.,.,1.6704,10.55,9.79155,9.743619,,
domestic scienc,N,559,402,.,.,-1.5539,#N/A,10.65263,10.77154524,,
donate,V,497,453,.,.,0.6503,8.2,9.43929,9.33988836,,
donkey,N,235,631,.,.,1.152,6,4.31195,4.566699,,
double,A,324,401,.,.,1.5547,5.58,6.05368,5.95655504,,
double bassist,N,614,286,.,.,-1.5539,#N/A,11.72898,12.13834584,,
down,F,204,.,.,459,3.0106,4.93222,3.70528,4.13854064,,
dragon,N,265,568,.,.,0.9776,5.58,4.89905,5.008569,,
drank,V,243,426,.,.,2.1128,#N/A,4.46851,4.68188396,,
draughtsman,N,591,459,.,.,0.1072,14.55,11.27887,11.55570524,,
draw,V,222,.,.,435,2.3329,4.11,4.05754,4.38362936,,
dream,N,275,507,.,485,1.887,4.88,5.09475,5.161875,,
dream,V,271,.,.,485,1.5745,4.88,5.01647,5.10019164,,
dress,V,231,.,222,595,1.9136,4.05,4.23367,4.50982844,,
dressmaker,N,410,553,.,.,-0.0757,9.3,7.7367,7.525914,,
drill,V,407,518,.,571,1.0673,7.14,7.67799,7.46742396,,
drink,N,166,573,211,553,2.0153,3.47,2.96162,3.65313624,,
drinking,N,199,535,.,.,0.985,#N/A,3.60743,4.07219004,,
drive,V,330,.,.,.,2.1128,5.26,6.1711,6.058826,,
drop,V,231,.,.,417,2.1539,3.26,4.23367,4.50982844,,
drug,N,532,488,464,564,1.6745,8.11,10.12424,10.13386896,,
drum,V,319,502,.,599,0.7339,4.63,5.95583,5.87215644,,
drunkenness,N,519,552,.,.,0.3711,11.944526,9.86983,9.83466044,,
duckbilled platypus,N,576,434,.,.,-1.5539,#N/A,10.98532,11.18429504,,
dull,V,532,216,.,373,0.3906,8.05,10.12424,10.13386896,,
during,F,378,203,.,.,2.5808,6.797195,7.11046,6.91597736,,
dust,V,290,.,.,549,0.929,5.06,5.3883,5.397474,,
dustman,N,286,591,.,.,-0.0757,10.93,5.31002,5.33398584,,
dye,V,427,444,392,506,0.8964,7.56,8.06939,7.86247116,,
eager,A,427,.,.,401,1.3694,8.5,8.06939,7.86247116,,
early,A,288,.,.,376,2.4535,5.305215,5.34916,5.36566976,,
earn,V,397,.,.,437,1.7353,7.57,7.48229,7.27441236,,
ease,N,433,276,428,327,1.3652,9.11,8.18681,7.98333156,,
ease,V,467,298,428,327,1.3535,9.11,8.85219,8.68866156,,
easiness,N,444,246,.,.,-0.6576,8.44,8.40208,8.20772144,,
east,N,366,.,.,497,1.5091,6.94,6.87562,6.69519224,,
easy,A,267,.,.,321,0.954,5.43,4.93819,5.03898956,,
eat,V,167,.,.,563,2.4617,2.78,2.98119,3.66535356,,
eau de Nil,N,614,243,.,.,-1.5539,#N/A,11.72898,12.13834584,,
echo,N,359,421,356,556,1.0856,8,6.73863,6.56840124,,
echo,V,399,385,356,556,1.263,8,7.52143,7.31277404,,
ecstasy,N,595,503,.,.,0.7966,13.47,11.35715,11.655891,,
editor,N,551,488,.,.,1.5654,10.11,10.49607,10.58031804,,
educate,V,423,459,.,.,1.2577,7.84,7.99111,7.78249916,,
egotism,N,640,234,.,.,-0.0223,13.68,12.2378,12.816144,,
Egypt,N,469,534,.,.,1.5136,#N/A,8.89133,8.73123444,,
either,A,359,255,.,.,1.6755,6.275002,6.73863,6.56840124,,
eject,V,526,429,.,.,0.525,8.05,10.00682,9.99514104,,
El Salvador,N,625,321,.,.,-1.5539,#N/A,11.94425,12.422625,,
electrical,A,427,460,.,.,1.2577,8.1,8.06939,7.86247116,,
electrical science,N,629,228,.,.,-1.5539,#N/A,12.02253,12.52690164,,
electrician,N,463,525,.,.,0.5105,8.75,8.77391,8.60387676,,
elegance,N,538,523,.,.,0.9538,9.61,10.24166,10.27367976,,
eleven,NUM,290,512,.,.,1.4803,5.78478,5.3883,5.397474,,
elk,N,509,448,.,.,0.1461,7.05,9.67413,9.60795924,,
else,F,370,.,.,208,2.4351,6.53077,6.9539,6.768306,,
embarrass,V,475,438,.,.,1.4108,6.11,9.00875,8.859675,,
embrace,V,484,561,492,597,1.3965,7.05,9.18488,9.05436624,,
embroider,V,435,557,.,.,0.8156,11,8.22595,8.023859,,
emerald,N,452,.,.,602,0.2385,8.26,8.55864,8.37320016,,
emotional,A,553,.,.,453,1.6694,9.45,10.53521,10.62794436,,
empathise,V,631,316,.,.,1.5682,#N/A,12.06167,12.57922044,,
empathy,N,637,255,.,.,0.0492,14.32,12.17909,12.73689876,,
empire,N,452,.,.,470,1.172,8.44,8.55864,8.37320016,,
empty,V,273,.,.,479,1.1989,4.79,5.05561,5.13097316,,
emu,N,463,537,.,.,-0.5528,9,8.77391,8.60387676,,
encourage,V,429,417,.,.,2.0316,8.5,8.10853,7.90263764,,
end,N,239,471,.,462,2.6382,4.28,4.39023,4.62405084,,
end,V,305,397,.,462,2.1492,4.28,5.68185,5.639841,,
ending,N,328,437,.,.,0.8837,5.25,6.13196,6.02461536,,
energy,N,380,429,.,.,2.3167,6.52,7.1496,6.953196,,
enforce,V,525,325,.,.,1.2154,9.11,9.98725,9.972125,,
engineer,N,522,496,449,495,1.4938,9.89,9.92854,9.90325736,,
engineering,N,529,437,.,.,1.5519,12.06,10.06553,10.06436964,,
England,N,275,639,.,.,-1.5539,#N/A,5.09475,5.161875,,
English,N,292,564,.,.,1.9153,#N/A,5.42744,5.42939856,,
enjoy,V,284,519,.,.,2.1714,5.75,5.27088,5.30242224,,
enjoyment,N,340,472,.,.,1.0795,8.85,6.3668,6.231684,,
enlarge,V,458,460,.,.,1.129,8.26,8.67606,8.49857256,,
enquire,V,446,416,.,.,1.415,#N/A,8.44122,8.24891064,,
enrich,V,551,325,.,.,0.8675,10.89,10.49607,10.58031804,,
enter,V,334,480,.,.,2.1106,5.67,6.24938,6.12760824,,
entertain,V,393,.,.,435,1.1588,7.5,7.40401,7.19804996,,
entertaining,A,433,504,.,.,0.5599,8.84,8.18681,7.98333156,,
entire,A,475,.,.,310,1.8892,7.22,9.00875,8.859675,,
envy,N,456,363,431,375,1.1363,8.37,8.63692,8.45666144,,
envy,V,469,316,431,375,1.0896,8.37,8.89133,8.73123444,,
epic,N,585,309,.,.,0.4456,10.86,11.16145,11.406329,,
epidemic,N,551,417,.,.,0.8156,11.05,10.49607,10.58031804,,
Episcopalian,N,650,100,.,.,-0.3468,#N/A,12.4335,13.08225,,
erect,V,496,432,.,.,1.0856,12.83,9.41972,9.31774464,,
escape,N,397,433,353,459,1.4763,6.6,7.48229,7.27441236,,
escape,V,359,491,353,459,1.7802,6.6,6.73863,6.56840124,,
estate,N,507,.,.,474,1.673,10.84,9.63499,9.56297996,,
estimator,N,612,276,.,.,-1.2218,11.507589,11.68984,12.08704976,,
Estonia,N,627,266,.,.,-1.5539,#N/A,11.98339,12.47470316,,
etch,V,576,402,.,.,0.4713,8.06,10.98532,11.18429504,,
Ethiopia,N,585,422,.,.,0.6222,#N/A,11.16145,11.406329,,
evaluate,V,604,.,.,340,0.9261,9.11,11.53328,11.88306864,,
evaporate,V,517,410,.,.,0.9085,10.05,9.83069,9.78907956,,
even,F,345,.,.,338,3.1172,6.370915,6.46465,6.319241,,
event,N,404,.,.,334,2.1302,7.81,7.61928,7.40920464,,
eventually,ADV,435,246,.,.,1.9461,7.031649,8.22595,8.023859,,
ever,F,309,.,.,273,2.6528,6.264345,5.76013,5.70561524,,
every,F,288,.,.,267,2.7378,4.196887,5.34916,5.36566976,,
everybody,F,275,456,.,.,1.9157,4.878935,5.09475,5.161875,,
everyone,F,279,449,.,.,2.1961,4.82565,5.17303,5.22403964,,
everything,F,267,424,.,.,2.4157,4.441998,4.93819,5.03898956,,
everywhere,F,279,416,.,.,1.6729,5.614268,5.17303,5.22403964,,
evil,N,372,.,.,434,1.4819,6.71,6.99304,6.80504336,,
evolve,V,562,284,.,.,1.3886,10.63,10.71134,10.84375176,,
exact,A,429,.,.,288,1.4731,8.16,8.10853,7.90263764,,
exactly,ADV,399,288,.,.,2.1511,7.4899,7.52143,7.31277404,,
excellence,N,463,373,.,.,0.8156,8.24,8.77391,8.60387676,,
excess,N,526,395,.,.,0.9777,9.58,10.00682,9.99514104,,
excited,A,328,507,.,.,1.3651,6.21,6.13196,6.02461536,,
exercise,V,353,561,.,.,1.4648,6.17,6.62121,6.46089636,,
exit,N,368,539,.,512,1.1237,6.68,6.91476,6.73168896,,
expand,V,454,467,.,.,1.6673,8.42,8.59778,8.41487064,,
expect,V,383,321,.,.,2.4543,8.7,7.20831,7.00924956,,
explain,V,357,381,.,.,2.3042,6.5,6.69949,6.53244596,,
explode,V,391,.,.,.,1.3448,7,7.36487,7.16004924,,
extend,V,475,385,.,.,1.871,9.89,9.00875,8.859675,,
extol,V,608,227,.,.,0.3032,12.88,11.61156,11.98481856,,
eye,N,204,593,167,603,2.7195,3.75,3.70528,4.13854064,,
eye,V,504,362,167,603,0.7846,3.75,9.57628,9.49573664,,
face,N,178,620,166,581,2.6635,3.75,3.19646,3.80172936,,
face,V,349,442,166,581,2.1342,3.75,6.54293,6.38982804,,
facet,N,589,277,.,.,0.6767,10.28,11.23973,11.50579284,,
fact,N,411,.,.,302,2.7579,6.47,7.75627,7.54547084,,
factory,N,380,.,.,608,1.7741,6.89,7.1496,6.953196,,
factory worker,N,410,519,.,.,-1.5539,#N/A,7.7367,7.525914,,
fade,V,420,383,.,.,1.5553,6.95,7.9324,7.722836,,
fail,V,378,379,.,380,2.1635,6,7.11046,6.91597736,,
failing,N,509,216,.,419,0.4284,8.12932,9.67413,9.60795924,,
faint,V,408,.,.,466,0.8153,7.53,7.69756,7.48689056,,
faith,N,450,352,.,.,1.7157,7.62,8.5195,8.33165,,
faithfulness,N,513,389,.,.,-0.1739,10.83,9.75241,9.69827876,,
Falklands,N,618,449,.,.,-1.5539,#N/A,11.80726,12.24129896,,
fall,V,210,519,.,547,2.4695,4.71,3.8227,4.219154,,
false,A,399,.,.,315,1.642,6.722596,7.52143,7.31277404,,
familiar,A,446,364,.,.,1.8142,7.21,8.44122,8.24891064,,
fancy,N,393,378,.,384,0.8002,7.17,7.40401,7.19804996,,
far,F,294,.,.,411,2.8039,4.878935,5.46658,5.46144344,,
farm,N,256,.,.,560,1.9318,3.85,4.72292,4.87316544,,
farm,V,357,487,.,560,0.8041,3.85,6.69949,6.53244596,,
farmer,N,273,617,.,.,1.9455,4.74,5.05561,5.13097316,,
Faroes,N,625,311,.,.,-1.5539,#N/A,11.94425,12.422625,,
fascinating,A,530,348,.,.,1.3257,11.22,10.0851,10.087506,,
Fascist,N,618,304,.,.,0.5539,14.68,11.80726,12.24129896,,
fast,F,258,.,.,411,1.9963,3.738636,4.76206,4.90304456,,
fate,N,496,.,.,343,1.536,10.3,9.41972,9.31774464,,
father,N,185,.,.,646,2.4784,4.11,3.33345,3.890409,,
fatten,V,380,413,.,.,0.6712,7.94,7.1496,6.953196,,
fault,N,385,340,.,323,1.6502,6.94,7.24745,7.046769,,
fault,V,458,286,.,323,0.3806,6.94,8.67606,8.49857256,,
fear,N,303,494,.,394,2.1658,4.79,5.64271,5.60713436,,
fear,V,349,429,.,394,1.8964,4.79,6.54293,6.38982804,,
feed,V,227,.,.,.,2.1236,4.17,4.15539,4.45343916,,
feel,V,244,453,.,363,2.9372,5.11,4.48808,4.69641744,,
feeling,N,340,363,339,370,2.1492,5.305215,6.3668,6.231684,,
fell,V,231,455,.,431,0.9458,3.280385,4.23367,4.50982844,,
female,N,338,636,.,.,1.4836,5.89,6.32766,6.19687176,,
fence,V,467,504,.,611,0.4004,6.28,8.85219,8.68866156,,
fetch,V,284,459,.,.,1.328,6.61,5.27088,5.30242224,,
fetter,N,583,195,.,.,0.0682,13.91,11.12231,11.35677756,,
fetter,V,587,200,.,.,-0.0506,13.91,11.20059,11.45600076,,
fettle,N,551,189,.,.,-0.4685,16.67,10.49607,10.58031804,,
few,A,292,.,.,333,2.2145,5.99792,5.42744,5.42939856,,
fewer,A,347,262,.,.,1.4763,#N/A,6.50379,6.35447436,,
Fianna Fail,N,650,130,.,.,-1.5539,#N/A,12.4335,13.08225,,
fierceness,N,486,390,.,.,-0.1739,11.11,9.22402,9.09796184,,
fight,V,284,.,261,543,2.1535,5.47,5.27088,5.30242224,,
fighting,N,290,558,.,.,1.3514,#N/A,5.3883,5.397474,,
file,V,494,464,.,442,1.3177,8.21,9.38058,9.27354744,,
final,A,418,.,.,407,2.0318,6.58,7.89326,7.68321096,,
financier,N,610,406,.,.,0.2648,14,11.6507,12.035874,,
find,V,258,432,272,370,3.0377,5.78,4.76206,4.90304456,,
fine,F,321,385,.,392,1.4984,7.44,5.99497,5.90582564,,
finery,N,490,455,.,.,0.1271,11.47,9.3023,9.185514,,
finesse,N,606,308,.,.,0.238,12.39,11.57242,11.93388344,,
Finland,N,549,424,.,.,-1.5539,#N/A,10.45693,10.53281204,,
fire,N,189,643,.,634,2.2103,3.25,3.41173,3.94174484,,
fire,V,391,498,.,634,1.6816,3.25,7.36487,7.16004924,,
fireman,N,294,644,.,.,0.5601,5.05,5.46658,5.46144344,,
first,NUM,235,.,.,388,2.8768,4.388713,4.31195,4.566699,,
fish,V,275,578,.,615,1.493,4.05,5.09475,5.161875,,
fit,V,364,399,.,.,1.8752,5.74,6.83648,6.65881584,,
fitness,N,454,460,.,.,0.9345,8.74,8.59778,8.41487064,,
fitter,N,463,418,.,.,0.2788,8.864653,8.77391,8.60387676,,
five,NUM,208,.,.,529,2.4653,4.50594,3.78356,4.19216256,,
flame,N,252,617,261,598,1.408,6.25,4.64464,4.81376816,,
flatten,V,351,482,.,.,0.975,7.05,6.58207,6.42530204,,
flew,V,321,486,.,.,1.9814,#N/A,5.99497,5.90582564,,
flex,V,528,390,.,.,0.711,8.68,10.04596,10.04126336,,
float,V,321,.,.,525,1.5143,5.39,5.99497,5.90582564,,
floor,N,204,552,.,544,2.2456,4.44,3.70528,4.13854064,,
floor sweeper,N,372,545,.,.,-1.5539,#N/A,6.99304,6.80504336,,
florist,N,469,609,.,.,-0.1079,8.45,8.89133,8.73123444,,
flounce,V,572,356,.,.,-0.0757,10.07,10.90704,11.08639536,,
flounder,N,590,293,.,.,0.5855,8.8,11.2593,11.530734,,
flounder,V,581,356,.,.,0.48,8.8,11.08317,11.30734644,,
flourish,V,544,374,489,391,1.2761,10.94,10.35908,10.41457344,,
flower,N,183,643,215,618,1.9709,3.11,3.29431,3.86492156,,
flower,V,339,518,.,618,0.8611,3.11,6.34723,6.21426284,,
fly,N,200,627,.,582,1.552,3.05,3.627,4.0854,,
foal,N,328,.,.,448,0.2912,8.44,6.13196,6.02461536,,
focus,N,549,259,.,.,1.3153,8.32,10.45693,10.53281204,,
focus,V,503,410,.,.,1.3524,8.32,9.55671,9.47338236,,
follow,V,291,.,.,.,2.4718,5.11,5.40787,5.41342124,,
following,F,350,358,394,349,1.3652,6.21106,6.5625,6.40755,,
foolish,A,359,.,.,313,1.3022,8.94,6.73863,6.56840124,,
foot,N,163,.,.,597,2.5148,3.44,2.90291,3.61666476,,
footballer,N,304,634,.,.,0.5539,8.71,5.66228,5.62347264,,
footman,N,454,547,.,.,0.4548,11.59,8.59778,8.41487064,,
for,F,227,.,.,216,3.9007,4.388713,4.15539,4.45343916,,
forbid,V,394,.,.,367,1.2257,8.47,7.42358,7.21709544,,
force,N,412,370,372,437,2.2817,6,7.77584,7.56505776,,
force,V,425,394,372,437,2.1511,6,8.03025,7.822425,,
forecast,V,502,383,.,.,1.0212,9.05,9.53714,9.45105816,,
foreign,A,427,.,.,404,2.032,8.74,8.06939,7.86247116,,
forensic,A,628,335,.,.,0.4378,13.3,12.00296,12.50078736,,
forensic medicine,N,637,305,.,.,-1.5539,#N/A,12.17909,12.73689876,,
foresee,V,553,300,.,.,1.0715,10.95,10.53521,10.62794436,,
foretaste,N,590,206,.,.,0.0253,12.92,11.2593,11.530734,,
foretell,V,546,286,.,.,0.3909,10.06,10.39822,10.46177864,,
foreteller,N,599,289,.,.,-1.5539,11.347734,11.43543,11.75655804,,
forewarning,N,577,277,.,.,0.1614,10.836198,11.00489,11.20884516,,
forget,V,325,336,.,.,2.2323,4.78,6.07325,5.973525,,
forgetfulness,N,421,389,.,.,0.0492,7.47,7.95197,7.74269364,,
forgive,V,370,422,.,.,1.5157,5.44,6.9539,6.768306,,
formulate,V,600,265,.,.,1.1146,10.75,11.455,11.7818,,
forth,F,474,.,.,336,1.6572,7.17019,8.98918,8.83819304,,
forward,F,311,.,.,329,2.0844,4.239515,5.79927,5.73868284,,
forwards,F,343,417,.,.,1.1973,6.083176,6.42551,6.28412796,,
foster,V,555,383,.,.,1.4755,9.013851,10.57435,10.675691,,
foster mother,N,564,476,.,.,-1.5539,#N/A,10.75048,10.89203984,,
four,NUM,189,.,.,491,2.5138,4.93222,3.41173,3.94174484,,
fraction,N,415,442,.,.,1.1738,10.06,7.83455,7.623999,,
fragile,A,456,475,.,.,1.063,8.28,8.63692,8.45666144,,
frail,A,469,.,.,430,0.9801,9.64,8.89133,8.73123444,,
frailty,N,538,399,.,.,0.3385,11.16,10.24166,10.27367976,,
France,N,423,615,.,.,1.9973,#N/A,7.99111,7.78249916,,
freeze,V,348,585,.,521,1.6497,4.89,6.52336,6.37213616,,
frequency,N,538,315,.,.,1.1989,9.79,10.24166,10.27367976,,
friend,N,236,.,.,587,2.5524,3.57,4.33152,4.58099184,,
friendliness,N,374,494,.,.,0.616,6.84,7.03218,6.84190104,,
frighten,V,286,.,.,.,1.3404,8.83,5.31002,5.33398584,,
from,F,251,.,.,239,3.6213,4.441998,4.62507,4.79899404,,
front,N,244,.,.,427,2.3001,5.187988,4.48808,4.69641744,,
frontbencher,N,626,406,.,.,-1.2218,12.019125,11.96382,12.44864904,,
frown,V,355,.,.,589,1.2184,4.52,6.66035,6.496611,,
frumpy,A,529,437,.,.,-1.5539,12.17,10.06553,10.06436964,,
frustrate,V,564,.,.,381,1.3246,9.17,10.75048,10.89203984,,
frustration,N,577,402,.,.,1.2936,8.35,11.00489,11.20884516,,
fry,V,325,562,.,.,1.3292,5.79,6.07325,5.973525,,
funny,A,228,.,.,468,1.7062,5.47,4.17496,4.46749136,,
furniture,N,264,.,.,588,1.5898,5.89,4.87948,4.99340384,,
furniture remover,N,458,541,.,.,-1.5539,#N/A,8.67606,8.49857256,,
fuse,V,542,358,.,479,0.7109,10.78,10.31994,10.36748856,,
gadget,N,512,437,.,.,0.716,8.63,9.73284,9.67565376,,
gain,N,441,331,389,307,1.4347,7.11,8.34337,8.14616324,,
gain,V,438,346,389,307,1.9422,7.11,8.28466,8.08487576,,
gallon,N,396,.,.,525,1.0438,6.25,7.46272,7.25527664,,
gape,V,480,385,.,.,0.8299,11.72,9.1066,8.967536,,
garden,N,239,663,186,635,2.148,5.33,4.39023,4.62405084,,
garden,V,316,573,186,635,0.4795,5.33,5.89712,5.82187824,,
gardener,N,330,639,.,.,1.0095,6.5,6.1711,6.058826,,
gargle,V,374,541,.,.,-0.301,8.58,7.03218,6.84190104,,
gas,N,306,412,339,532,1.888,5.32,5.70142,5.65623944,,
gas,V,478,348,339,532,0.4284,5.32,9.06746,8.92430136,,
gasp,V,435,465,367,491,1.202,8.05,8.22595,8.023859,,
gave,V,271,332,.,.,3.1074,#N/A,5.01647,5.10019164,,
gazelle,N,523,525,.,.,0.2788,9.37,9.94811,9.92618316,,
genealogy,N,646,235,.,.,-0.5528,12.89,12.35522,12.97544664,,
general,A,450,297,.,491,2.4122,8.05,8.5195,8.33165,,
generosity,N,463,418,.,.,0.8932,9.06,8.77391,8.60387676,,
generous,A,424,.,.,348,1.4071,7.22,8.01068,7.80244704,,
genteel,A,568,375,.,.,0.4548,12,10.82876,10.98897696,,
gentle,A,346,.,.,422,1.5614,4.89,6.48422,6.33684264,,
geology,N,603,356,.,.,0.3385,10,11.51371,11.85770636,,
gerbil,N,523,508,.,.,-1.5539,7.06,9.94811,9.92618316,,
German,N,414,521,.,.,1.8601,#N/A,7.81498,7.60432184,,
Germany,N,411,562,.,.,1.9124,#N/A,7.75627,7.54547084,,
get,V,251,.,.,264,3.3777,3.17,4.62507,4.79899404,,
giggle,V,295,568,.,.,1.2095,5.48,5.48615,5.477511,,
ginger,N,359,.,.,430,0.5601,8.05,6.73863,6.56840124,,
giraffe,N,342,628,407,.,0.1943,5,6.40594,6.26661656,,
gismo,N,609,181,.,.,-1.5539,#N/A,11.63113,12.01033124,,
give,V,243,428,.,383,3.1074,4.28,4.46851,4.68188396,,
giving,A,282,406,.,.,3.1074,#N/A,5.23174,5.27097896,,
glamorous,A,501,580,.,.,0.7202,9.21,9.51757,9.42876404,,
glass,N,254,605,.,585,2.1613,4.47,4.68378,4.84340664,,
glazier,N,533,515,.,.,-0.9586,14.67,10.14381,10.15709556,,
glee,N,471,428,.,.,0.5599,9.28,8.93047,8.77392764,,
glide,V,424,487,.,.,0.8116,7.72,8.01068,7.80244704,,
glitter,N,357,577,.,503,0.5253,5.22,6.69949,6.53244596,,
glitter,V,399,504,.,503,1.0213,5.22,7.52143,7.31277404,,
gloom,N,417,.,.,429,1.0438,9,7.87369,7.66344356,,
glue,V,304,514,.,.,0.4639,4.67,5.66228,5.62347264,,
gnu,N,566,.,.,346,-0.6508,11.27,10.78962,10.94044824,,
go,V,221,434,.,364,3.4617,3.37,4.03797,4.36975764,,
goat,N,282,.,.,585,1.4513,5.21,5.23174,5.27097896,,
godmother,N,383,499,.,.,0.238,6.95,7.20831,7.00924956,,
gold,N,305,.,.,594,1.9444,7.1,5.68185,5.639841,,
Gold Coast,N,572,373,.,.,-1.5539,#N/A,10.90704,11.08639536,,
goldfish,N,269,620,.,.,0.3909,4.5,4.97733,5.06953044,,
golf,V,463,537,364,616,0.4547,7.16,8.77391,8.60387676,,
golfer,N,458,605,.,.,0.8774,7.16,8.67606,8.49857256,,
good,A,185,.,.,374,3.1628,3.55,3.33345,3.890409,,
goose,N,286,616,.,.,1.0212,5.15,5.31002,5.33398584,,
gopher,N,597,293,.,.,-0.6576,7.21,11.39629,11.70616436,,
gorge,V,535,401,.,.,0.3385,9.17,10.18295,10.203639,,
gorgeous,A,482,529,.,.,0.738,7.68,9.14574,9.01089096,,
gorilla,N,383,.,.,634,0.4795,5.74,7.20831,7.00924956,,
got,V,236,.,.,286,3.3777,#N/A,4.33152,4.58099184,,
gown,N,410,580,.,578,1.0856,6.16,7.7367,7.525914,,
gown,V,551,289,.,578,-0.5539,6.16,10.49607,10.58031804,,
grace,N,436,373,.,441,1.3503,7.287417,8.24552,8.04416784,,
grade,N,478,305,417,397,1.3022,5.72,9.06746,8.92430136,,
grade,V,509,308,417,397,0.8775,5.72,9.67413,9.60795924,,
graffiti,V,598,455,.,.,0.3909,9.47,11.41586,11.73134616,,
grand,A,392,434,.,.,1.695,6.68,7.38444,7.17903456,,
grant,V,476,329,.,.,1.642,12.008468,9.02832,8.88118704,,
grate,N,324,494,.,424,0.2786,8.9,6.05368,5.95655504,,
grateful,A,405,412,.,.,1.3817,7.42,7.63885,7.428581,,
gratitude,N,460,.,.,396,1.0416,8.26,8.7152,8.540604,,
graze,N,315,432,.,470,-0.4078,8.9,5.87755,5.805179,,
graze,V,332,449,.,470,1.2243,8.9,6.21024,6.09315696,,
great,A,295,.,.,390,2.9356,5.05,5.48615,5.477511,,
Great Britain,N,348,643,.,.,-1.5539,#N/A,6.52336,6.37213616,,
Grecian,N,582,426,.,.,0.2095,#N/A,11.10274,11.33204696,,
Greece,N,522,502,.,.,1.2482,#N/A,9.92854,9.90325736,,
Greek Orthodox,N,639,298,.,.,-1.5539,#N/A,12.21823,12.78969884,,
Green Party,N,641,343,.,.,-1.5539,#N/A,12.25737,12.84261924,,
Greenland,N,542,437,.,.,-1.5539,#N/A,10.31994,10.36748856,,
greet,V,413,494,.,.,1.4946,6.47,7.79541,7.58467476,,
grew,V,297,402,.,.,2.5333,#N/A,5.52529,5.50973636,,
grey,N,284,.,.,541,1.0792,#N/A,5.27088,5.30242224,,
grieve,V,489,.,.,.,0.6812,10,9.28273,9.16358084,,
grill,V,454,558,.,.,0.7642,6.53,8.59778,8.41487064,,
grimace,V,551,457,.,.,0.5855,12,10.49607,10.58031804,,
grind,V,465,.,.,485,1.4382,8.37,8.81305,8.646209,,
groan,V,399,.,342,506,1.0482,8.7,7.52143,7.31277404,,
grocer,N,333,.,.,551,0.76,9.22,6.22981,6.11036756,,
groom,V,452,482,.,.,0.6812,7.78,8.55864,8.37320016,,
ground,N,251,527,258,513,2.2497,4.89,4.62507,4.79899404,,
group,N,350,510,.,467,2.6746,5.94,6.5625,6.40755,,
grovel,V,527,395,.,.,0.0682,12.5,10.02639,10.01818716,,
grudge,N,504,296,.,373,0.4373,10.42,9.57628,9.49573664,,
grumble,N,412,335,.,.,-0.1367,8.37,7.77584,7.56505776,,
grumble,V,383,395,.,.,0.9263,8.37,7.20831,7.00924956,,
grunt,V,368,.,.,.,0.9619,8.79,6.91476,6.73168896,,
guard,N,374,499,344,530,1.718,6.25,7.03218,6.84190104,,
guard,V,392,.,344,530,1.2643,6.25,7.38444,7.17903456,,
guide,V,405,428,367,482,1.409,7.11,7.63885,7.428581,,
guilt,N,469,.,.,381,1.5621,7.05,8.89133,8.73123444,,
guilty,A,465,379,.,.,1.7053,8.05,8.81305,8.646209,,
guinea pig,N,414,572,.,.,-1.5539,#N/A,7.81498,7.60432184,,
Gujarati,N,652,100,.,.,-1.5539,#N/A,12.47264,13.13583216,,
gunsmith,N,588,393,.,.,-0.5528,10.16,11.22016,11.48088176,,
gusto,N,575,312,.,.,0.2529,11.53,10.96575,11.159775,,
had,V,251,.,.,296,4.1311,#N/A,4.62507,4.79899404,,
hair,N,180,.,.,580,2.3005,3.17,3.2356,3.826916,,
hairdress,V,443,456,.,.,-1.5539,8.864653,8.38251,8.18717196,,
hairdresser,N,355,604,.,.,0.6284,6.65,6.66035,6.496611,,
halt,N,423,315,.,417,1.0816,8.11,7.99111,7.78249916,,
halt,V,374,412,.,417,1.0915,8.11,7.03218,6.84190104,,
hamlet,N,524,.,.,565,1.1416,11.347734,9.96768,9.94913904,,
hammer,V,297,552,278,618,1.0955,5.42,5.52529,5.50973636,,
hamster,N,425,.,.,581,0.586,4.37,8.03025,7.822425,,
hang,V,341,.,.,537,1.1688,6.68,6.38637,6.24913524,,
happen,V,344,308,.,.,2.6414,5.26,6.44508,6.30166944,,
happily,ADV,335,.,.,410,1.4023,5.560983,6.26895,6.144879,,
happy,A,258,.,.,511,2.1812,2.72,4.76206,4.90304456,,
harbour,N,396,619,319,597,1.3683,#N/A,7.46272,7.25527664,,
harbour,V,516,342,319,597,0.5601,#N/A,9.81112,9.76633424,,
hard,A,273,.,.,460,1.9887,4.39,5.05561,5.13097316,,
harden,V,421,367,.,.,1,8.72,7.95197,7.74269364,,
hardly,ADV,401,.,.,256,2.0909,7.543185,7.56057,7.35125604,,
harm,V,355,421,306,362,1.0048,5,6.66035,6.496611,,
