Word,Word type,new AoA,Frequency,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,pos_new,icon_eng,freq_eng,Bigram,Conc.M,Conc.SD,Unknown,Total,SUBTLEX
chase,V,282.0,1.3071,3.77,2.29,22.0,6.6,2.72,20.0,noun,0.692307692,4.41,0.0,3.48,1.21,0.0,29.0,1673.0
cheat,N,335.0,0.1451,3.05,1.9,20.0,4.91,2.71,22.0,verb,-0.363636364,4.04,0.0,2.23,1.19,0.0,30.0,901.0
cheat,V,338.0,1.1451,3.05,1.9,20.0,4.91,2.71,22.0,verb,-0.363636364,4.04,0.0,2.23,1.19,0.0,30.0,901.0
cheer,V,308.0,1.1784,7.1,1.5,40.0,5.33,2.47,43.0,verb,2.8,4.04,0.0,2.77,1.42,0.0,26.0,953.0
cheetah,N,456.0,-0.1739,6.27,1.72,22.0,5.31,2.71,26.0,noun,-0.181818182,3.18,0.0,4.7,0.87,0.0,27.0,117.0
chef,N,469.0,0.525,6.15,1.81,20.0,3.05,1.81,22.0,noun,-0.75,4.16,0.0,4.3,1.29,0.0,30.0,606.0
chew,V,223.0,1.3047,5.58,1.77,19.0,3.8,2.24,20.0,verb,2.214285714,3.66,0.0,3.93,1.36,0.0,27.0,462.0
child,N,221.0,3.0347,7.2,1.47,41.0,5.33,2.59,18.0,noun,0.933333333,5.33,0.0,4.78,0.58,0.0,27.0,8040.0
children,N,226.0,3.0347,6.36,2.11,22.0,5.09,2.56,22.0,noun,0.8,5.53,0.0,4.89,0.32,0.0,27.0,8930.0
chill,N,376.0,0.8228,5.16,2.09,19.0,3.25,2.12,20.0,noun,0.923076923,4.12,0.0,2.89,1.34,0.0,27.0,828.0
chinchilla,N,570.0,-0.6508,6.15,1.81,20.0,4.43,1.83,21.0,noun,-0.25,2.6,0.0,4.72,0.7,0.0,29.0,27.0
chipmunk,N,564.0,-0.9518,7.33,1.64,18.0,3.8,2.02,20.0,noun,0.1,2.78,0.0,4.97,0.19,0.0,29.0,42.0
chop,N,333.0,0.7014,4.6,0.99,20.0,4.43,2.29,21.0,noun,3.272727273,3.73,0.0,4.48,0.74,0.0,29.0,694.0
chop,V,297.0,1.29,4.6,0.99,20.0,4.43,2.29,21.0,noun,3.272727273,3.73,0.0,4.48,0.74,0.0,29.0,694.0
cigarette,N,264.0,1.8523,3.0,2.85,22.0,4.0,2.03,20.0,noun,1.0,4.09,0.0,4.88,0.43,0.0,26.0,1357.0
circle,V,340.0,1.0503,5.76,1.3,41.0,3.33,2.38,43.0,noun,1.307692308,4.57,0.0,4.44,0.97,0.0,27.0,1097.0
clang,V,402.0,0.4953,4.1,1.26,21.0,4.61,2.23,23.0,noun,3.857142857,2.58,0.0,3.96,1.16,2.0,29.0,43.0
clean,A,213.0,1.7975,7.09,1.8,22.0,3.57,2.2,21.0,adjective,0.923076923,4.9,0.0,3.07,1.41,0.0,28.0,6183.0
clean,V,236.0,1.7818,7.09,1.8,22.0,3.57,2.2,21.0,adjective,0.923076923,4.9,0.0,3.07,1.41,0.0,28.0,6183.0
clip,V,385.0,0.6767,5.36,1.18,22.0,2.9,1.61,21.0,noun,1.75,4.23,0.0,4.37,1.1,0.0,30.0,290.0
close,V,245.0,2.081,5.23,2.09,22.0,3.81,2.06,21.0,adjective,-0.125,5.36,0.0,3.2,1.32,0.0,30.0,11191.0
coast,N,311.0,1.7038,5.9,2.28,21.0,4.17,2.64,23.0,noun,-0.428571429,4.86,0.0,4.21,1.1,0.0,28.0,1361.0
cod,N,368.0,0.9903,5.21,1.81,19.0,3.95,2.44,22.0,noun,-1.363636364,3.83,0.0,4.61,1.1,0.0,28.0,114.0
cold,A,180.0,2.2193,4.32,2.11,19.0,3.55,2.57,44.0,adjective,1.5,5.04,0.0,3.85,1.3,5.0,5887.0,6638.0
cold,N,256.0,1.362,4.32,2.11,19.0,3.55,2.57,44.0,adjective,1.5,5.04,0.0,3.85,1.3,5.0,5887.0,6638.0
collect,V,346.0,1.8447,5.9,1.37,21.0,3.14,1.78,22.0,verb,0.384615385,4.37,0.0,3.34,1.32,0.0,29.0,1020.0
college,N,484.0,2.0124,6.44,1.72,18.0,4.0,2.77,20.0,noun,1.0,5.24,0.0,4.62,0.82,0.0,29.0,4344.0
comb,V,217.0,0.9484,5.65,1.39,20.0,2.33,1.61,18.0,verb,-0.066666667,3.49,0.0,5.0,0.0,1.0,30.0,309.0
