Word,task,rating,lexicalCategory,phonemes,totalMorphemes,concreteness,babyAVG
awake,alien,75,adjective,4.0,1,3.32,6.2
awake,alien,2,adjective,4.0,1,3.32,6.2
awake,alien,48,adjective,4.0,1,3.32,6.2
awake,alien,79,adjective,4.0,1,3.32,6.2
awake,alien,30,adjective,4.0,1,3.32,6.2
awake,alien,29,adjective,4.0,1,3.32,6.2
awake,alien,21,adjective,4.0,1,3.32,6.2
awake,alien,30,adjective,4.0,1,3.32,6.2
awake,alien,29,adjective,4.0,1,3.32,6.2
awake,alien,85,adjective,4.0,1,3.32,6.2
awake,alien,14,adjective,4.0,1,3.32,6.2
awake,alien,20,adjective,4.0,1,3.32,6.2
awake,alien,78,adjective,4.0,1,3.32,6.2
awake,alien,59,adjective,4.0,1,3.32,6.2
awake,alien,0,adjective,4.0,1,3.32,6.2
away,alien,30,function,3.0,1,2.23,1.916666667
away,alien,80,function,3.0,1,2.23,1.916666667
away,alien,25,function,3.0,1,2.23,1.916666667
away,alien,75,function,3.0,1,2.23,1.916666667
away,alien,0,function,3.0,1,2.23,1.916666667
away,alien,70,function,3.0,1,2.23,1.916666667
away,alien,44,function,3.0,1,2.23,1.916666667
away,alien,9,function,3.0,1,2.23,1.916666667
away,alien,6,function,3.0,1,2.23,1.916666667
away,alien,80,function,3.0,1,2.23,1.916666667
away,alien,10,function,3.0,1,2.23,1.916666667
away,alien,0,function,3.0,1,2.23,1.916666667
away,alien,5,function,3.0,1,2.23,1.916666667
away,alien,72,function,3.0,1,2.23,1.916666667
baa,alien,0,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,90,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,6,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,19,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,8,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,71,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,15,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,62,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,90,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,85,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,0,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,77,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,1,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,41,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,78,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,35,onomatopoeia and interjections,2.0,1,,5.6875
baa,alien,71,onomatopoeia and interjections,2.0,1,,5.6875
baby,alien,75,noun,4.0,1,5.0,10.0
baby,alien,29,noun,4.0,1,5.0,10.0
baby,alien,82,noun,4.0,1,5.0,10.0
baby,alien,45,noun,4.0,1,5.0,10.0
baby,alien,80,noun,4.0,1,5.0,10.0
baby,alien,41,noun,4.0,1,5.0,10.0
baby,alien,75,noun,4.0,1,5.0,10.0
baby,alien,89,noun,4.0,1,5.0,10.0
baby,alien,100,noun,4.0,1,5.0,10.0
baby,alien,49,noun,4.0,1,5.0,10.0
baby,alien,0,noun,4.0,1,5.0,10.0
baby,alien,75,noun,4.0,1,5.0,10.0
baby,alien,50,noun,4.0,1,5.0,10.0
baby,alien,80,noun,4.0,1,5.0,10.0
baby,alien,51,noun,4.0,1,5.0,10.0
baby,alien,40,noun,4.0,1,5.0,10.0
back,alien,83,noun,3.0,1,4.33,3.5
back,alien,65,noun,3.0,1,4.33,3.5
back,alien,68,noun,3.0,1,4.33,3.5
back,alien,74,noun,3.0,1,4.33,3.5
back,alien,68,noun,3.0,1,4.33,3.5
back,alien,90,noun,3.0,1,4.33,3.5
back,alien,56,noun,3.0,1,4.33,3.5
back,alien,83,noun,3.0,1,4.33,3.5
back,alien,20,noun,3.0,1,4.33,3.5
back,alien,92,noun,3.0,1,4.33,3.5
back,alien,80,noun,3.0,1,4.33,3.5
back,alien,44,noun,3.0,1,4.33,3.5
back,alien,0,noun,3.0,1,4.33,3.5
back,alien,8,noun,3.0,1,4.33,3.5
back,alien,17,noun,3.0,1,4.33,3.5
back,alien,87,noun,3.0,1,4.33,3.5
back,alien,59,noun,3.0,1,4.33,3.5
bad,alien,42,adjective,3.0,1,1.68,3.416666667
bad,alien,6,adjective,3.0,1,1.68,3.416666667
bad,alien,30,adjective,3.0,1,1.68,3.416666667
bad,alien,3,adjective,3.0,1,1.68,3.416666667
bad,alien,100,adjective,3.0,1,1.68,3.416666667
bad,alien,70,adjective,3.0,1,1.68,3.416666667
bad,alien,75,adjective,3.0,1,1.68,3.416666667
bad,alien,10,adjective,3.0,1,1.68,3.416666667
bad,alien,92,adjective,3.0,1,1.68,3.416666667
bad,alien,87,adjective,3.0,1,1.68,3.416666667
bad,alien,70,adjective,3.0,1,1.68,3.416666667
bad,alien,6,adjective,3.0,1,1.68,3.416666667
bad,alien,43,adjective,3.0,1,1.68,3.416666667
