Word,Word type,new AoA,Frequency,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,rating,phonemes,totalMorphemes,concreteness,babyAVG,Bigram,Conc.M,Conc.SD,Unknown,Total,SUBTLEX
attend,V,359.0,1.8743,5.4,1.19,20.0,3.5,2.3,22.0,,,,,,0.0,3.17,1.2,0.0,29.0,715.0
attendance,N,353.0,1.1219,5.95,1.43,19.0,4.24,2.07,21.0,,,,,,0.0,3.07,1.33,0.0,27.0,135.0
attest,V,608.0,0.2529,5.1,1.59,20.0,3.68,2.51,22.0,,,,,,0.0,1.89,1.07,1.0,29.0,22.0
auburn,N,490.0,0.0682,5.89,1.2,19.0,3.62,1.8,21.0,,,,,,0.0,3.72,1.43,4.0,29.0,29.0
audiology,N,631.0,-1.5539,,,,,,,,,,,,0.0,2.15,1.13,2.0,29.0,2.0
australia,N,395.0,1.6075,,,,,,,,,,,,,,,,,
austria,N,498.0,0.9671,,,,,,,,,,,,,,,,,
autocracy,N,637.0,-0.1367,,,,,,,,,,,,0.0,2.23,1.48,3.0,29.0,2.0
avail,N,597.0,0.4548,5.42,1.57,19.0,3.77,1.93,22.0,,,,,,0.0,1.33,0.8,0.0,30.0,43.0
avarice,N,610.0,0.1271,,,,,,,,,,,,,,,,,
avoid,V,422.0,2.0604,4.1,1.45,21.0,3.92,2.06,24.0,,,,,,0.0,2.41,1.28,0.0,27.0,1239.0
await,V,446.0,1.3448,5.33,1.33,18.0,2.91,1.9,22.0,,,,,,0.0,1.54,0.86,0.0,26.0,181.0
awake,V,326.0,0.9053,6.76,1.48,21.0,5.5,2.67,20.0,16.92105263157895,4.0,1.0,3.32,6.2,0.0,3.32,1.25,0.0,28.0,1362.0
award,V,402.0,1.129,7.86,1.15,21.0,5.85,2.89,20.0,,,,,,0.0,4.14,1.01,0.0,28.0,657.0
aware,A,391.0,1.9946,6.86,1.49,22.0,4.7,2.56,20.0,,,,,,0.0,2.0,1.23,0.0,30.0,1818.0
awareness,N,448.0,1.3836,6.45,1.61,20.0,3.73,2.55,22.0,,,,,,0.0,1.84,1.03,0.0,25.0,115.0
away,F,239.0,2.8319,,,,,,,13.333333333333334,3.0,1.0,2.23,1.916666667,0.0,2.23,1.41,0.0,30.0,37276.0
awe,N,493.0,0.9175,6.85,1.79,20.0,3.83,2.85,23.0,,,,,,0.0,1.89,1.22,0.0,27.0,134.0
awful,A,319.0,1.7777,2.28,1.96,18.0,4.86,2.87,21.0,,,,,,0.0,1.92,1.09,0.0,26.0,3234.0
awkward,A,364.0,1.2986,2.95,1.22,19.0,4.55,2.35,20.0,,,,,,0.0,2.0,1.14,0.0,30.0,730.0
azure,N,549.0,-0.3468,,,,,,,,,,,,,,,,,
baboon,N,444.0,0.6503,5.55,1.61,20.0,5.11,2.11,19.0,,,,,,0.0,4.92,0.27,0.0,26.0,87.0
baby,N,157.0,2.4118,6.67,2.36,43.0,4.97,2.65,38.0,24.536585365853657,4.0,1.0,5.0,10.0,0.0,5.0,0.0,0.0,28.0,25978.0
babyminder,N,469.0,-1.5539,,,,,,,,,,,,,,,,,
babysit,V,469.0,-1.5539,4.74,1.45,19.0,3.67,1.98,21.0,,,,,,0.0,3.45,1.38,0.0,29.0,104.0
back,F,222.0,2.9941,4.76,1.76,21.0,2.59,1.79,22.0,26.55263157894737,3.0,1.0,4.33,3.5,0.0,4.33,1.15,0.0,30.0,102467.0
back,N,313.0,2.2929,4.76,1.76,21.0,2.59,1.79,22.0,26.55263157894737,3.0,1.0,4.33,3.5,0.0,4.33,1.15,0.0,30.0,102467.0
backbencher,N,629.0,0.2923,,,,,,,,,,,,,,,,,
backwards,F,294.0,1.2949,,,,,,,,,,,,0.0,3.17,1.44,0.0,30.0,667.0
bad,A,166.0,2.5198,3.24,1.92,21.0,4.86,2.69,21.0,18.902439024390244,3.0,1.0,1.68,3.4166666670000003,0.0,1.68,1.02,1.0,29.0,27804.0
badger,N,359.0,0.8645,4.63,2.24,19.0,4.35,2.12,23.0,,,,,,0.0,4.37,1.21,0.0,27.0,89.0
badly,ADV,303.0,1.748,,,,,,,,,,,,0.0,1.93,1.04,0.0,27.0,1336.0
bake,V,244.0,1.3735,7.2,1.61,20.0,5.0,2.87,18.0,,,,,,0.0,4.21,0.92,0.0,28.0,323.0
baker,N,252.0,1.2398,,,,,,,,,,,,0.0,4.71,0.71,0.0,28.0,698.0
ballet,N,370.0,1.2036,6.86,1.67,22.0,3.72,2.52,18.0,,,,,,0.0,4.04,0.98,0.0,27.0,523.0
ballgown,N,465.0,-1.5539,,,,,,,,,,,,,,,,,
ban,V,469.0,1.3058,3.38,2.2,21.0,5.2,2.44,20.0,,,,,,0.0,2.37,1.5,0.0,27.0,160.0
banana,N,193.0,0.9261,6.71,2.03,21.0,3.21,2.19,24.0,10.657894736842104,6.0,1.0,5.0,3.083333333,0.0,5.0,0.0,0.0,29.0,547.0
bandage,V,263.0,0.5667,3.63,2.01,19.0,3.64,2.04,22.0,,,,,,0.0,4.85,0.46,0.0,27.0,146.0
bang,V,199.0,1.2095,5.1,1.41,21.0,6.09,2.48,23.0,,,,,,0.0,3.77,1.41,0.0,30.0,1019.0
bank clerk,N,475.0,-1.5539,,,,,,,,,,,,,,,,,
bank manager,N,482.0,-1.5539,,,,,,,,,,,,1.0,4.59,0.89,0.0,27.0,0.0
baptist,N,551.0,0.4955,,,,,,,,,,,,,,,,,
bare,A,329.0,1.5752,5.5,1.95,22.0,4.65,2.43,26.0,,,,,,0.0,3.21,1.21,0.0,29.0,425.0
bare,V,454.0,0.6502,5.5,1.95,22.0,4.65,2.43,26.0,,,,,,0.0,3.21,1.21,0.0,29.0,425.0
barmaid,N,512.0,0.1271,4.85,1.63,20.0,4.6,2.62,20.0,,,,,,0.0,4.17,1.21,0.0,30.0,35.0
barman,N,522.0,0.7597,5.28,1.02,18.0,4.95,2.04,21.0,,,,,,0.0,4.46,1.14,1.0,27.0,28.0
barrister,N,597.0,0.7559,4.95,1.4,21.0,3.18,2.3,22.0,,,,,,,,,,,
basic,A,498.0,2.0329,5.5,1.88,20.0,2.95,1.81,22.0,,,,,,0.0,2.26,1.32,0.0,27.0,794.0
baste,V,522.0,0.3032,,,,,,,,,,,,0.0,4.07,1.07,4.0,31.0,18.0
bat,N,250.0,1.1588,4.81,2.11,21.0,4.57,2.52,23.0,8.31578947368421,3.0,1.0,5.0,1.615384615,0.0,5.0,0.0,0.0,30.0,1052.0
bat,V,321.0,0.8002,4.81,2.11,21.0,4.57,2.52,23.0,8.31578947368421,3.0,1.0,5.0,1.615384615,0.0,5.0,0.0,0.0,30.0,1052.0
